?,?????,??????, ????? , ?????? ,?????,???????
45,SUNMED _Inflation Device,1, 600.0 , 600.0 ,1-?????? ????? ????? ?????,1/8/2024
213,PTA Balloon _ATROPOS 0.35 _819-060150-150,1," 4,000.0 "," 4,000.0 ",1-?????? ????? ????? ?????,1/21/2024
214,BARTY Cross over 55c-6f,1," 6,000.0 "," 6,000.0 ",1-?????? ????? ????? ?????,1/21/2024
215,KDL_Introducer set femoral 8F,1, 500.0 , 500.0 ,1-?????? ????? ????? ?????,1/21/2024
934,SUNMED _Inflation Device,1, 700.0 , 700.0 ,1-?????? ????? ????? ?????,3/3/2024
935,KDL angiography  Catheter Ver  5F,1," 1,100.0 "," 1,100.0 ",1-?????? ????? ????? ?????,3/3/2024
936,KDL_Introducer set femoral 6F,1, 400.0 , 400.0 ,1-?????? ????? ????? ?????,3/3/2024
1017,SUNMED _Inflation Device,1, 700.0 , 700.0 ,1-?????? ????? ????? ?????,3/3/2024
1018,KDL angiography  Catheter Ver  4F,1," 1,100.0 "," 1,100.0 ",1-?????? ????? ????? ?????,3/3/2024
1019,KDL angiography  Catheter RIM -5F,1," 1,100.0 "," 1,100.0 ",1-?????? ????? ????? ?????,3/3/2024
1020,PTA Balloon _ATROPOS 0.35 _819-030200-150,1," 4,200.0 "," 4,200.0 ",1-?????? ????? ????? ?????,3/3/2024
1021,PTA Balloon _ATROPOS 0.35 _819-060200-150,1," 4,200.0 "," 4,200.0 ",1-?????? ????? ????? ?????,3/3/2024
1022,BARTY Cross over 55c-6f,1," 6,500.0 "," 6,500.0 ",1-?????? ????? ????? ?????,3/3/2024
1023,KDL_Introducer set femoral 8F,1, 400.0 , 400.0 ,1-?????? ????? ????? ?????,3/3/2024
1161,KDL_Introducer set femoral 6F,1, 400.0 , 400.0 ,1-?????? ????? ????? ?????,3/10/2024
1326,PTA Balloon _ATROPOS 0.35 _819-030200-150,1," 6,000.0 "," 6,000.0 ",1-?????? ????? ????? ?????,3/21/2024
1327,SUNMED _Inflation Device,1, 750.0 , 750.0 ,1-?????? ????? ????? ?????,3/21/2024
1328,KDL_Introducer set femoral 6F,1, 400.0 , 400.0 ,1-?????? ????? ????? ?????,3/21/2024
48,SUNMED_Guide wire 0.035x150cm_ J-tip,100, 157.9 ," 15,789.5 ",1-???? ???? ?????? ??????,1/8/2024
49,SUNMED_Haemostatic valves p&p,100, 175.4 ," 17,543.9 ",1-???? ???? ?????? ??????,1/8/2024
128,KDL_Introducer set transradial 6F_70mm,50, 394.7 ," 19,736.8 ",1-???? ???? ?????? ??????,1/16/2024
131,KDL Guiding Catheter JR3.5 6F,10," 1,359.6 "," 13,596.5 ",1-???? ???? ?????? ??????,1/16/2024
275,KDL_Introducer set transradial 6F_70mm,8, 394.7 ," 3,157.9 ",1-???? ???? ?????? ??????,1/27/2024
276,SUNMED_Haemostatic valves p&p,50, 175.4 ," 8,771.9 ",1-???? ???? ?????? ??????,1/27/2024
277,KDL Guiding Catheter JR3.5 6F,30," 1,359.6 "," 40,789.5 ",1-???? ???? ?????? ??????,1/27/2024
278,SUNMED_Guide wire 0.035x150cm_ J-tip,100, 157.9 ," 15,789.5 ",1-???? ???? ?????? ??????,1/27/2024
288,KDL Guiding Catheter XB3  6F,5," 1,271.9 "," 6,359.7 ",1-???? ???? ?????? ??????,1/29/2024
289,KDL Guiding Catheter XB3.5 7F,5," 1,271.9 "," 6,359.7 ",1-???? ???? ?????? ??????,1/29/2024
290,KDL Guiding Catheter AL1 6F,5," 1,271.9 "," 6,359.7 ",1-???? ???? ?????? ??????,1/29/2024
492,KDL_Introducer set transradial 6F_70mm,50, 438.6 ," 21,929.8 ",1-???? ???? ?????? ??????,2/8/2024
493,KDL_Introducer set transradial 6F_110mm,25, 438.6 ," 10,964.9 ",1-???? ???? ?????? ??????,2/8/2024
741,KDL Guiding Catheter XB3.5  6F,50," 1,271.9 "," 63,596.5 ",1-???? ???? ?????? ??????,2/19/2024
742,KDL Guiding Catheter 3DRC 6F,2," 1,271.9 "," 2,543.9 ",1-???? ???? ?????? ??????,2/19/2024
743,KDL_Introducer set femoral 6F,300, 350.9 ," 105,263.2 ",1-???? ???? ?????? ??????,2/19/2024
744,KDL_Introducer set transradial 6F_110mm,100, 460.5 ," 46,052.6 ",1-???? ???? ?????? ??????,2/19/2024
812,KDL Guiding Catheter JL3.5 6F,15," 1,271.9 "," 19,079.0 ",1-???? ???? ?????? ??????,2/22/2024
813,KDL Guiding Catheter JL4 6F,10," 1,271.9 "," 12,719.3 ",1-???? ???? ?????? ??????,2/22/2024
814,KDL Guiding Catheter JR3.5 6F,40," 1,271.9 "," 50,877.2 ",1-???? ???? ?????? ??????,2/22/2024
815,KDL Guiding Catheter JR4 6F,20," 1,271.9 "," 25,438.6 ",1-???? ???? ?????? ??????,2/22/2024
816,KDL Guiding Catheter XB3  6F,4," 1,271.9 "," 5,087.7 ",1-???? ???? ?????? ??????,2/22/2024
817,KDL Guiding Catheter XB4  6F,3," 1,271.9 "," 3,815.8 ",1-???? ???? ?????? ??????,2/22/2024
818,KDL Guiding Catheter 3DRC 6F,3," 1,271.9 "," 3,815.8 ",1-???? ???? ?????? ??????,2/22/2024
819,SUNMED_Haemostatic valves p&p,100, 193.0 ," 19,298.3 ",1-???? ???? ?????? ??????,2/22/2024
820,SUNMED_Guide wire 0.035x150cm_ J-tip,40, 193.0 ," 7,719.3 ",1-???? ???? ?????? ??????,2/22/2024
821,KDL Guiding Catheter XB3.5  6F,50," 1,271.9 "," 63,596.5 ",1-???? ???? ?????? ??????,2/22/2024
1048,KDL angiography  Catheter JL4.0 6F,30, 482.5 ," 14,473.7 ",1-???? ???? ?????? ??????,3/4/2024
1049,KDL angiography  Catheter JR4.0   6F,150, 482.5 ," 72,368.4 ",1-???? ???? ?????? ??????,3/4/2024
1050,SUNMED_TR Closure band,5, 350.9 ," 1,754.4 ",1-???? ???? ?????? ??????,3/4/2024
1051,SUNMED_Guide wire 0.035x150cm_ J-tip,150, 193.0 ," 28,947.4 ",1-???? ???? ?????? ??????,3/4/2024
40,KDL angiography  Catheter Ver  5F,3, 833.3 ," 2,500.0 ",1-???? ?????? ???????,1/4/2024
41,KDL angiography  Catheter C2-5F/65CM,3, 833.3 ," 2,500.0 ",1-???? ?????? ???????,1/4/2024
